Unix,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume EUR,tradecount
1595149200000,2020-07-19 09:00:00,BTCEUR,8055.38,8068.86,8030.53,8052.75,2.378817,19138.131976,144
1595145600000,2020-07-19 08:00:00,BTCEUR,8057.94,8070.0,8038.73,8059.53,4.112789,33113.67096661,92
1595142000000,2020-07-19 07:00:00,BTCEUR,8054.52,8064.9,8054.29,8055.62,0.232716,1875.7970547,29
1595138400000,2020-07-19 06:00:00,BTCEUR,8048.13,8065.38,8023.84,8054.37,2.0245,16277.79960288,86
1595134800000,2020-07-19 05:00:00,BTCEUR,8055.51,8063.71,8046.09,8049.41,0.75007,6043.40203314,33
1595131200000,2020-07-19 04:00:00,BTCEUR,8048.52,8061.78,8047.25,8057.34,2.460439,19812.10153307,104
1595127600000,2020-07-19 03:00:00,BTCEUR,8060.6,8062.5,8047.15,8052.0,3.870207,31169.71047025,286
1595124000000,2020-07-19 02:00:00,BTCEUR,8066.96,8078.43,8060.47,8063.23,0.247762,1999.34173704,50
1595120400000,2020-07-19 01:00:00,BTCEUR,8083.89,8088.84,8066.96,8068.29,1.019784,8236.20960122,257
1595116800000,2020-07-19 00:00:00,BTCEUR,8076.89,8090.14,8070.83,8083.49,0.370931,2997.86700607,93
1595113200000,2020-07-18 23:00:00,BTCEUR,8075.96,8089.38,8066.71,8070.18,0.756046,6106.18391996,48
1595109600000,2020-07-18 22:00:00,BTCEUR,8077.06,8078.56,8065.14,8070.76,0.198956,1606.04985988,49
1595106000000,2020-07-18 21:00:00,BTCEUR,8074.0,8083.55,8061.26,8065.87,0.871995,7038.33238401,84
1595102400000,2020-07-18 20:00:00,BTCEUR,8064.67,8087.99,8059.09,8079.64,1.019903,8235.94826986,56
1595098800000,2020-07-18 19:00:00,BTCEUR,8089.22,8098.42,8059.08,8059.08,1.357135,10969.56473925,73
1595095200000,2020-07-18 18:00:00,BTCEUR,8069.27,8094.85,8060.0,8087.89,3.381519,27315.97842055,144
1595091600000,2020-07-18 17:00:00,BTCEUR,8069.55,8094.0,8063.59,8069.68,4.671086,37729.63543652,161
1595088000000,2020-07-18 16:00:00,BTCEUR,8071.48,8080.0,8058.56,8067.57,0.855486,6898.48290929,70
1595084400000,2020-07-18 15:00:00,BTCEUR,8069.68,8090.0,8059.22,8065.45,5.429784,43873.54642683,163
1595080800000,2020-07-18 14:00:00,BTCEUR,8064.97,8078.32,8056.84,8069.31,2.496459,20136.27679098,178
1595077200000,2020-07-18 13:00:00,BTCEUR,8066.33,8073.0,8053.08,8063.15,1.398012,11273.74569278,184
1595073600000,2020-07-18 12:00:00,BTCEUR,8063.85,8074.89,8058.71,8065.64,2.284476,18421.43797849,91
1595070000000,2020-07-18 11:00:00,BTCEUR,8066.26,8085.0,8059.07,8068.59,1.939199,15650.16081704,183
1595066400000,2020-07-18 10:00:00,BTCEUR,8068.8,8079.91,8062.22,8067.15,1.361985,10993.53927836,196
1595062800000,2020-07-18 09:00:00,BTCEUR,8057.93,8098.61,8056.4,8068.8,2.318545,18733.95588201,135
1595059200000,2020-07-18 08:00:00,BTCEUR,8036.99,8058.0,8023.0,8039.86,5.837532,46871.26571253,140
1595055600000,2020-07-18 07:00:00,BTCEUR,8036.98,8066.0,8028.13,8039.07,4.31782,34733.53800529,127
1595052000000,2020-07-18 06:00:00,BTCEUR,8037.97,8053.02,8036.98,8043.69,1.29003,10376.97125058,119
1595048400000,2020-07-18 05:00:00,BTCEUR,8048.03,8054.52,8034.09,8039.17,1.195436,9617.85629287,59
1595044800000,2020-07-18 04:00:00,BTCEUR,8038.09,8050.94,8034.03,8045.94,3.32593,26758.02223776,101
