Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume EUR,tradecount
1634029200000,2021-10-12 09:00:00,ETHEUR,3034.7,3036.89,2968.16,2983.57,1803.9951,5419064.025932,5539
1634025600000,2021-10-12 08:00:00,ETHEUR,3020.63,3044.13,3013.07,3034.13,1022.416,3100393.609681,3305
1634022000000,2021-10-12 07:00:00,ETHEUR,3019.5,3028.24,3008.71,3020.39,917.213,2769642.230162,3023
1634018400000,2021-10-12 06:00:00,ETHEUR,3046.0,3053.11,3014.9,3018.51,1089.4617,3309624.939438,3378
1634014800000,2021-10-12 05:00:00,ETHEUR,3035.09,3053.84,2998.33,3045.96,1443.8917,4372360.02261,3968
1634011200000,2021-10-12 04:00:00,ETHEUR,3025.37,3038.94,3012.69,3034.68,1017.3682,3082357.646214,2575
1634007600000,2021-10-12 03:00:00,ETHEUR,3018.5,3028.35,2991.38,3025.38,1257.6751,3785218.584042,3962
1634004000000,2021-10-12 02:00:00,ETHEUR,3049.21,3052.48,3013.77,3019.1,861.3896,2609641.852769,2878
1634000400000,2021-10-12 01:00:00,ETHEUR,3036.06,3057.78,3021.1,3050.68,658.0708,2001702.057914,2267
1633996800000,2021-10-12 00:00:00,ETHEUR,3070.28,3071.54,3013.76,3036.62,1738.3179,5280652.485849,5084
1633993200000,2021-10-11 23:00:00,ETHEUR,3044.89,3073.45,3033.68,3070.6,687.928,2095493.999691,2158
1633989600000,2021-10-11 22:00:00,ETHEUR,3047.54,3060.72,3036.91,3044.64,683.0573,2082543.517277,2237
1633986000000,2021-10-11 21:00:00,ETHEUR,3023.96,3061.07,3011.25,3047.98,712.5806,2158826.098154,2500
1633982400000,2021-10-11 20:00:00,ETHEUR,3045.6,3047.75,3003.55,3024.27,1728.8396,5237659.410078,5649
1633978800000,2021-10-11 19:00:00,ETHEUR,3074.11,3095.57,3045.15,3045.6,1124.6828,3457335.716243,3682
1633975200000,2021-10-11 18:00:00,ETHEUR,3083.0,3089.37,3067.04,3074.11,573.7902,1765269.04905,2163
1633971600000,2021-10-11 17:00:00,ETHEUR,3094.51,3100.07,3069.98,3084.0,990.8689,3057996.699622,2878
1633968000000,2021-10-11 16:00:00,ETHEUR,3110.06,3115.0,3090.0,3094.87,1074.3827,3332349.507798,3798
1633964400000,2021-10-11 15:00:00,ETHEUR,3112.6,3117.0,3097.78,3109.81,758.0943,2357379.660769,3000
1633960800000,2021-10-11 14:00:00,ETHEUR,3108.04,3116.64,3089.48,3112.71,1372.4947,4259495.38282,4373
1633957200000,2021-10-11 13:00:00,ETHEUR,3089.52,3122.1,3089.52,3108.04,1496.3631,4651240.252372,4705
1633953600000,2021-10-11 12:00:00,ETHEUR,3080.91,3099.29,3072.0,3089.52,797.2115,2462043.802502,2887
1633950000000,2021-10-11 11:00:00,ETHEUR,3080.89,3091.55,3058.65,3080.14,1177.2085,3621613.516942,4557
1633946400000,2021-10-11 10:00:00,ETHEUR,3097.92,3109.61,3080.0,3080.89,1033.6253,3203349.114472,3261
1633942800000,2021-10-11 09:00:00,ETHEUR,3118.21,3132.35,3083.54,3097.82,1187.5669,3688496.028015,3745
1633939200000,2021-10-11 08:00:00,ETHEUR,3096.0,3134.89,3095.74,3116.96,2534.8032,7902687.331638,6896
1633935600000,2021-10-11 07:00:00,ETHEUR,3044.27,3099.0,3042.07,3095.64,1395.6158,4293136.578202,4848
1633932000000,2021-10-11 06:00:00,ETHEUR,3051.35,3055.88,3038.62,3044.66,603.2589,1836660.182071,2258
1633928400000,2021-10-11 05:00:00,ETHEUR,3046.09,3053.85,3031.63,3050.82,608.3063,1851086.393917,2207
1633924800000,2021-10-11 04:00:00,ETHEUR,3046.33,3063.41,3035.51,3046.31,1050.5954,3202301.712144,3158
1633921200000,2021-10-11 03:00:00,ETHEUR,3008.95,3048.07,2997.0,3045.84,1455.4243,4396903.6146,4456
1633917600000,2021-10-11 02:00:00,ETHEUR,2987.22,3009.51,2987.22,3008.95,555.9898,1667733.046191,1801
1633914000000,2021-10-11 01:00:00,ETHEUR,2979.53,3006.0,2972.58,2986.68,816.0621,2442716.554437,2626
1633910400000,2021-10-11 00:00:00,ETHEUR,2955.18,2982.23,2919.71,2979.01,1612.7674,4762031.57921,4912
1633906800000,2021-10-10 23:00:00,ETHEUR,2999.0,3003.17,2947.47,2955.72,951.445,2822375.329679,2955
1633903200000,2021-10-10 22:00:00,ETHEUR,2990.7,3002.42,2970.0,2999.64,765.3036,2283850.980976,2298
1633899600000,2021-10-10 21:00:00,ETHEUR,3033.39,3033.39,2968.1,2991.05,2370.3554,7098130.493867,6143
1633896000000,2021-10-10 20:00:00,ETHEUR,3046.96,3083.0,3032.34,3035.25,1545.1703,4722472.241231,4294
