Unix,Date,Symbol,Open,High,Low,Close,Volume LTC,Volume EUR,tradecount
1644796800000,2022-02-14,LTCEUR,110.7,112.2,107.6,110.3,9539.681,1047495.2432,4361
1644710400000,2022-02-13,LTCEUR,111.8,113.8,109.0,110.7,8484.825,945769.2569,3920
1644624000000,2022-02-12,LTCEUR,110.8,112.6,106.8,111.7,12361.358,1361223.441,5011
1644537600000,2022-02-11,LTCEUR,117.9,118.5,110.2,111.0,12925.603,1492866.8855,5455
1644451200000,2022-02-10,LTCEUR,122.8,125.7,117.7,118.0,14800.873,1798350.7844,6654
1644364800000,2022-02-09,LTCEUR,117.4,123.6,115.8,122.8,13365.943,1616869.7394,5392
1644278400000,2022-02-08,LTCEUR,120.2,125.2,114.4,117.2,14199.881,1687079.6034,6351
1644192000000,2022-02-07,LTCEUR,111.6,122.5,109.3,120.0,16250.166,1879784.4861,6599
1644105600000,2022-02-06,LTCEUR,106.5,111.8,105.5,111.5,12764.086,1384464.0597,5457
1644019200000,2022-02-05,LTCEUR,106.0,108.3,103.9,106.6,11915.369,1269282.6385,4585
1643932800000,2022-02-04,LTCEUR,97.1,106.1,95.0,106.1,13765.075,1376309.939,5859
1643846400000,2022-02-03,LTCEUR,95.8,97.3,93.2,97.2,14727.186,1401915.578,4792
1643760000000,2022-02-02,LTCEUR,102.2,103.1,95.2,96.2,13184.38,1313763.5331,5576
1643673600000,2022-02-01,LTCEUR,97.5,103.8,96.5,102.3,16115.574,1608404.8568,5929
1643587200000,2022-01-31,LTCEUR,97.6,99.1,93.6,97.5,15881.353,1524352.7657,4574
1643500800000,2022-01-30,LTCEUR,99.8,100.9,96.3,97.6,10173.685,1005476.1727,3733
1643414400000,2022-01-29,LTCEUR,98.4,101.0,96.9,99.6,11060.231,1094308.9686,3755
1643328000000,2022-01-28,LTCEUR,96.0,98.8,94.6,98.4,14115.226,1361092.1467,4716
1643241600000,2022-01-27,LTCEUR,95.3,98.5,92.1,96.1,16147.638,1542473.5892,6359
1643155200000,2022-01-26,LTCEUR,95.6,103.3,93.3,95.3,18607.185,1816378.1974,6382
1643068800000,2022-01-25,LTCEUR,97.0,97.3,93.5,95.5,16018.806,1531167.6552,5744
1642982400000,2022-01-24,LTCEUR,99.1,99.1,86.5,96.7,23686.799,2183055.1498,7612
1642896000000,2022-01-23,LTCEUR,96.0,99.5,93.5,99.2,19784.146,1899274.4901,6409
1642809600000,2022-01-22,LTCEUR,101.4,103.3,85.2,95.9,30039.4034,2850604.75036,10289
1642723200000,2022-01-21,LTCEUR,115.0,115.9,97.1,101.4,25067.0717,2678871.13823,8530
